leaf_idx,type,ne,classification,first_referencing_node,reasoning
45,f32,48x1x1x1,weight:blk.2.ssm_a,n166,f32[48] MUL operand after softplus (-exp(A_log) factor)
46,f16,5120x48x1x1,weight:blk.2.ssm_beta.weight,n168,f16 5120x48 GEMV feeding sigmoid (mixing path)
47,f32,128x1x1x1,weight:blk.2.ssm_norm.weight,n179,f32[128] MUL after the per-head RMS_NORM of the GDN output
48,q4_0,5120x6144x1x1,weight:blk.2.attn_gate.weight,n180,unique q4_0 5120x6144 in block (z-gate GEMV)
49,q4_0_ar16,6144x5120x1x1,weight:blk.2.ssm_out.weight,n185,unique Q4_0_AR16 6144x5120 in block
50,f32,5120x1x1x1,weight:blk.2.post_attention_norm.weight,n189,f32[5120] MUL paired with pre-FFN RMS_NORM
51,q4_0,5120x17408x1x1,weight:blk.2.ffn_gate.weight,n190,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
52,q4_0,5120x17408x1x1,weight:blk.2.ffn_up.weight,n191,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
53,q4_0,17408x5120x1x1,weight:blk.2.ffn_down.weight,n193,unique q4_0 17408x5120 in block
54,f32,5120x1x1x1,weight:blk.3.attn_norm.weight,n196,f32[5120] MUL paired with pre-mixer RMS_NORM
55,q4_0,5120x12288x1x1,weight:blk.3.attn_q.weight,n197,unique q4_0 5120x12288 in block (q+gate interleaved)
56,f32,256x1x1x1,weight:blk.3.attn_q_norm.weight,n200,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
57,i32,4x1x1x1,positions,n201,"i32[4] = 4 M-RoPE position ids per token (ROPE src1, all 16 attn blocks)"
58,q4_0,5120x1024x1x1,weight:blk.3.attn_v.weight,n202,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
59,q4_0,5120x1024x1x1,weight:blk.3.attn_k.weight,n204,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
60,f32,256x1x1x1,weight:blk.3.attn_k_norm.weight,n207,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
61,i64,1x1x1x1,other:k_idxs,n210,i64[1] destination row index of the k-cache SET_ROWS (shared by all 16 attn blocks)
62,f16,1024x262144x1x1,cache_k(blk.3),n210,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
63,i64,1x1x1x1,other:v_idxs,n212,i64[1] destination row index of the v-cache SET_ROWS (shared by all 16 attn blocks)
64,f16,1024x262144x1x1,cache_v(blk.3),n212,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
65,f32,33024x1x1x1,mask,n219,"f32[n_kv=33024] KQ mask, CPY src (input)"
66,f16,33024x1x1x1,mask,n219,"f16[n_kv=33024] KQ mask, CPY dst (converted buffer, FLASH_ATTN_EXT src3)"
67,q4_0,6144x5120x1x1,weight:blk.3.attn_output.weight,n226,unique q4_0 6144x5120 in block
68,f32,5120x1x1x1,weight:blk.3.post_attention_norm.weight,n229,f32[5120] MUL paired with pre-FFN RMS_NORM
69,q4_0,5120x17408x1x1,weight:blk.3.ffn_gate.weight,n230,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
70,q4_0,5120x17408x1x1,weight:blk.3.ffn_up.weight,n231,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
71,q4_0,17408x5120x1x1,weight:blk.3.ffn_down.weight,n233,unique q4_0 17408x5120 in block
72,f32,5120x1x1x1,weight:blk.4.attn_norm.weight,n236,f32[5120] MUL paired with pre-mixer RMS_NORM
73,f32,30720x1x1x1,state:conv_state(blk.4),n237,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
74,q4_0,5120x10240x1x1,weight:blk.4.attn_qkv.weight,n245,unique q4_0 5120x10240 in block
75,f32,786432x1x1x1,state:ssm_state(blk.4),n252,f32[786432]=128x128x48 GDN recurrent state
76,f32,4x10240x1x1,weight:blk.4.ssm_conv1d.weight,n259,f32 4x10240 SSM_CONV kernel
77,f16,5120x48x1x1,weight:blk.4.ssm_alpha.weight,n266,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
78,f32,48x1x1x1,weight:blk.4.ssm_dt.bias,n268,f32[48] ADD operand on the alpha path
79,f32,48x1x1x1,weight:blk.4.ssm_a,n270,f32[48] MUL operand after softplus (-exp(A_log) factor)
80,f16,5120x48x1x1,weight:blk.4.ssm_beta.weight,n272,f16 5120x48 GEMV feeding sigmoid (mixing path)
81,f32,128x1x1x1,weight:blk.4.ssm_norm.weight,n283,f32[128] MUL after the per-head RMS_NORM of the GDN output
82,q4_0,5120x6144x1x1,weight:blk.4.attn_gate.weight,n284,unique q4_0 5120x6144 in block (z-gate GEMV)
83,q4_0_ar16,6144x5120x1x1,weight:blk.4.ssm_out.weight,n289,unique Q4_0_AR16 6144x5120 in block
84,f32,5120x1x1x1,weight:blk.4.post_attention_norm.weight,n293,f32[5120] MUL paired with pre-FFN RMS_NORM
85,q4_0,5120x17408x1x1,weight:blk.4.ffn_gate.weight,n294,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
86,q4_0,5120x17408x1x1,weight:blk.4.ffn_up.weight,n295,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
87,q4_0,17408x5120x1x1,weight:blk.4.ffn_down.weight,n297,unique q4_0 17408x5120 in block
88,f32,5120x1x1x1,weight:blk.5.attn_norm.weight,n300,f32[5120] MUL paired with pre-mixer RMS_NORM
89,f32,30720x1x1x1,state:conv_state(blk.5),n301,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
90,q4_0,5120x10240x1x1,weight:blk.5.attn_qkv.weight,n309,unique q4_0 5120x10240 in block
91,f32,786432x1x1x1,state:ssm_state(blk.5),n316,f32[786432]=128x128x48 GDN recurrent state
92,f32,4x10240x1x1,weight:blk.5.ssm_conv1d.weight,n323,f32 4x10240 SSM_CONV kernel
93,f16,5120x48x1x1,weight:blk.5.ssm_alpha.weight,n330,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
94,f32,48x1x1x1,weight:blk.5.ssm_dt.bias,n332,f32[48] ADD operand on the alpha path
95,f32,48x1x1x1,weight:blk.5.ssm_a,n334,f32[48] MUL operand after softplus (-exp(A_log) factor)
96,f16,5120x48x1x1,weight:blk.5.ssm_beta.weight,n336,f16 5120x48 GEMV feeding sigmoid (mixing path)
97,f32,128x1x1x1,weight:blk.5.ssm_norm.weight,n347,f32[128] MUL after the per-head RMS_NORM of the GDN output
98,q4_0,5120x6144x1x1,weight:blk.5.attn_gate.weight,n348,unique q4_0 5120x6144 in block (z-gate GEMV)
99,q4_0_ar16,6144x5120x1x1,weight:blk.5.ssm_out.weight,n353,unique Q4_0_AR16 6144x5120 in block
100,f32,5120x1x1x1,weight:blk.5.post_attention_norm.weight,n357,f32[5120] MUL paired with pre-FFN RMS_NORM
101,q4_0,5120x17408x1x1,weight:blk.5.ffn_gate.weight,n358,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
102,q4_0,5120x17408x1x1,weight:blk.5.ffn_up.weight,n359,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
103,q4_0,17408x5120x1x1,weight:blk.5.ffn_down.weight,n361,unique q4_0 17408x5120 in block
104,f32,5120x1x1x1,weight:blk.6.attn_norm.weight,n364,f32[5120] MUL paired with pre-mixer RMS_NORM
105,f32,30720x1x1x1,state:conv_state(blk.6),n365,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
106,q4_0,5120x10240x1x1,weight:blk.6.attn_qkv.weight,n373,unique q4_0 5120x10240 in block
107,f32,786432x1x1x1,state:ssm_state(blk.6),n380,f32[786432]=128x128x48 GDN recurrent state
108,f32,4x10240x1x1,weight:blk.6.ssm_conv1d.weight,n387,f32 4x10240 SSM_CONV kernel
109,f16,5120x48x1x1,weight:blk.6.ssm_alpha.weight,n394,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
110,f32,48x1x1x1,weight:blk.6.ssm_dt.bias,n396,f32[48] ADD operand on the alpha path
111,f32,48x1x1x1,weight:blk.6.ssm_a,n398,f32[48] MUL operand after softplus (-exp(A_log) factor)
112,f16,5120x48x1x1,weight:blk.6.ssm_beta.weight,n400,f16 5120x48 GEMV feeding sigmoid (mixing path)
113,f32,128x1x1x1,weight:blk.6.ssm_norm.weight,n411,f32[128] MUL after the per-head RMS_NORM of the GDN output
114,q4_0,5120x6144x1x1,weight:blk.6.attn_gate.weight,n412,unique q4_0 5120x6144 in block (z-gate GEMV)
115,q4_0_ar16,6144x5120x1x1,weight:blk.6.ssm_out.weight,n417,unique Q4_0_AR16 6144x5120 in block
116,f32,5120x1x1x1,weight:blk.6.post_attention_norm.weight,n421,f32[5120] MUL paired with pre-FFN RMS_NORM
117,q4_0,5120x17408x1x1,weight:blk.6.ffn_gate.weight,n422,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
118,q4_0,5120x17408x1x1,weight:blk.6.ffn_up.weight,n423,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
119,q4_0,17408x5120x1x1,weight:blk.6.ffn_down.weight,n425,unique q4_0 17408x5120 in block
120,f32,5120x1x1x1,weight:blk.7.attn_norm.weight,n428,f32[5120] MUL paired with pre-mixer RMS_NORM
121,q4_0,5120x12288x1x1,weight:blk.7.attn_q.weight,n429,unique q4_0 5120x12288 in block (q+gate interleaved)
122,f32,256x1x1x1,weight:blk.7.attn_q_norm.weight,n432,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
123,q4_0,5120x1024x1x1,weight:blk.7.attn_v.weight,n434,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
124,q4_0,5120x1024x1x1,weight:blk.7.attn_k.weight,n436,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
125,f32,256x1x1x1,weight:blk.7.attn_k_norm.weight,n439,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
126,f16,1024x262144x1x1,cache_k(blk.7),n442,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
127,f16,1024x262144x1x1,cache_v(blk.7),n444,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
128,q4_0,6144x5120x1x1,weight:blk.7.attn_output.weight,n457,unique q4_0 6144x5120 in block
129,f32,5120x1x1x1,weight:blk.7.post_attention_norm.weight,n460,f32[5120] MUL paired with pre-FFN RMS_NORM
130,q4_0,5120x17408x1x1,weight:blk.7.ffn_gate.weight,n461,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
131,q4_0,5120x17408x1x1,weight:blk.7.ffn_up.weight,n462,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
132,q4_0,17408x5120x1x1,weight:blk.7.ffn_down.weight,n464,unique q4_0 17408x5120 in block
133,f32,5120x1x1x1,weight:blk.8.attn_norm.weight,n467,f32[5120] MUL paired with pre-mixer RMS_NORM
134,f32,30720x1x1x1,state:conv_state(blk.8),n468,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
135,q4_0,5120x10240x1x1,weight:blk.8.attn_qkv.weight,n476,unique q4_0 5120x10240 in block
136,f32,786432x1x1x1,state:ssm_state(blk.8),n483,f32[786432]=128x128x48 GDN recurrent state
137,f32,4x10240x1x1,weight:blk.8.ssm_conv1d.weight,n490,f32 4x10240 SSM_CONV kernel
138,f16,5120x48x1x1,weight:blk.8.ssm_alpha.weight,n497,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
139,f32,48x1x1x1,weight:blk.8.ssm_dt.bias,n499,f32[48] ADD operand on the alpha path
140,f32,48x1x1x1,weight:blk.8.ssm_a,n501,f32[48] MUL operand after softplus (-exp(A_log) factor)
141,f16,5120x48x1x1,weight:blk.8.ssm_beta.weight,n503,f16 5120x48 GEMV feeding sigmoid (mixing path)
142,f32,128x1x1x1,weight:blk.8.ssm_norm.weight,n514,f32[128] MUL after the per-head RMS_NORM of the GDN output
143,q4_0,5120x6144x1x1,weight:blk.8.attn_gate.weight,n515,unique q4_0 5120x6144 in block (z-gate GEMV)
144,q4_0_ar16,6144x5120x1x1,weight:blk.8.ssm_out.weight,n520,unique Q4_0_AR16 6144x5120 in block
145,f32,5120x1x1x1,weight:blk.8.post_attention_norm.weight,n524,f32[5120] MUL paired with pre-FFN RMS_NORM
146,q4_0,5120x17408x1x1,weight:blk.8.ffn_gate.weight,n525,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
147,q4_0,5120x17408x1x1,weight:blk.8.ffn_up.weight,n526,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
148,q4_0,17408x5120x1x1,weight:blk.8.ffn_down.weight,n528,unique q4_0 17408x5120 in block
149,f32,5120x1x1x1,weight:blk.9.attn_norm.weight,n531,f32[5120] MUL paired with pre-mixer RMS_NORM
150,f32,30720x1x1x1,state:conv_state(blk.9),n532,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
151,q4_0,5120x10240x1x1,weight:blk.9.attn_qkv.weight,n540,unique q4_0 5120x10240 in block
152,f32,786432x1x1x1,state:ssm_state(blk.9),n547,f32[786432]=128x128x48 GDN recurrent state
153,f32,4x10240x1x1,weight:blk.9.ssm_conv1d.weight,n554,f32 4x10240 SSM_CONV kernel
154,f16,5120x48x1x1,weight:blk.9.ssm_alpha.weight,n561,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
155,f32,48x1x1x1,weight:blk.9.ssm_dt.bias,n563,f32[48] ADD operand on the alpha path
156,f32,48x1x1x1,weight:blk.9.ssm_a,n565,f32[48] MUL operand after softplus (-exp(A_log) factor)
157,f16,5120x48x1x1,weight:blk.9.ssm_beta.weight,n567,f16 5120x48 GEMV feeding sigmoid (mixing path)
158,f32,128x1x1x1,weight:blk.9.ssm_norm.weight,n578,f32[128] MUL after the per-head RMS_NORM of the GDN output
159,q4_0,5120x6144x1x1,weight:blk.9.attn_gate.weight,n579,unique q4_0 5120x6144 in block (z-gate GEMV)
160,q4_0_ar16,6144x5120x1x1,weight:blk.9.ssm_out.weight,n584,unique Q4_0_AR16 6144x5120 in block
161,f32,5120x1x1x1,weight:blk.9.post_attention_norm.weight,n588,f32[5120] MUL paired with pre-FFN RMS_NORM
162,q4_0,5120x17408x1x1,weight:blk.9.ffn_gate.weight,n589,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
163,q4_0,5120x17408x1x1,weight:blk.9.ffn_up.weight,n590,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
164,q4_0,17408x5120x1x1,weight:blk.9.ffn_down.weight,n592,unique q4_0 17408x5120 in block
165,f32,5120x1x1x1,weight:blk.10.attn_norm.weight,n595,f32[5120] MUL paired with pre-mixer RMS_NORM
166,f32,30720x1x1x1,state:conv_state(blk.10),n596,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
167,q4_0,5120x10240x1x1,weight:blk.10.attn_qkv.weight,n604,unique q4_0 5120x10240 in block
168,f32,786432x1x1x1,state:ssm_state(blk.10),n611,f32[786432]=128x128x48 GDN recurrent state
169,f32,4x10240x1x1,weight:blk.10.ssm_conv1d.weight,n618,f32 4x10240 SSM_CONV kernel
170,f16,5120x48x1x1,weight:blk.10.ssm_alpha.weight,n625,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
171,f32,48x1x1x1,weight:blk.10.ssm_dt.bias,n627,f32[48] ADD operand on the alpha path
172,f32,48x1x1x1,weight:blk.10.ssm_a,n629,f32[48] MUL operand after softplus (-exp(A_log) factor)
173,f16,5120x48x1x1,weight:blk.10.ssm_beta.weight,n631,f16 5120x48 GEMV feeding sigmoid (mixing path)
174,f32,128x1x1x1,weight:blk.10.ssm_norm.weight,n642,f32[128] MUL after the per-head RMS_NORM of the GDN output
175,q4_0,5120x6144x1x1,weight:blk.10.attn_gate.weight,n643,unique q4_0 5120x6144 in block (z-gate GEMV)
176,q4_0_ar16,6144x5120x1x1,weight:blk.10.ssm_out.weight,n648,unique Q4_0_AR16 6144x5120 in block
177,f32,5120x1x1x1,weight:blk.10.post_attention_norm.weight,n652,f32[5120] MUL paired with pre-FFN RMS_NORM
178,q4_0,5120x17408x1x1,weight:blk.10.ffn_gate.weight,n653,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
179,q4_0,5120x17408x1x1,weight:blk.10.ffn_up.weight,n654,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
180,q4_0,17408x5120x1x1,weight:blk.10.ffn_down.weight,n656,unique q4_0 17408x5120 in block
181,f32,5120x1x1x1,weight:blk.11.attn_norm.weight,n659,f32[5120] MUL paired with pre-mixer RMS_NORM
182,q4_0,5120x12288x1x1,weight:blk.11.attn_q.weight,n660,unique q4_0 5120x12288 in block (q+gate interleaved)
183,f32,256x1x1x1,weight:blk.11.attn_q_norm.weight,n663,"f32[256] norm weight; MUL output has 24 heads (24=q, 4=k)"
184,q4_0,5120x1024x1x1,weight:blk.11.attn_v.weight,n665,q4_0 5120x1024 whose GEMV goes straight to the V-cache SET_ROWS
185,q4_0,5120x1024x1x1,weight:blk.11.attn_k.weight,n667,q4_0 5120x1024 whose GEMV feeds k_norm RMS_NORM + ROPE
186,f32,256x1x1x1,weight:blk.11.attn_k_norm.weight,n670,"f32[256] norm weight; MUL output has 4 heads (24=q, 4=k)"
187,f16,1024x262144x1x1,cache_k(blk.11),n673,"f16 1024x262144 KV line; SET_ROWS value comes from ROPE (K is roped, V is not)"
188,f16,1024x262144x1x1,cache_v(blk.11),n675,"f16 1024x262144 KV line; SET_ROWS value does not come from ROPE (K is roped, V is not)"
189,q4_0,6144x5120x1x1,weight:blk.11.attn_output.weight,n688,unique q4_0 6144x5120 in block
190,f32,5120x1x1x1,weight:blk.11.post_attention_norm.weight,n691,f32[5120] MUL paired with pre-FFN RMS_NORM
191,q4_0,5120x17408x1x1,weight:blk.11.ffn_gate.weight,n692,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
192,q4_0,5120x17408x1x1,weight:blk.11.ffn_up.weight,n693,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
193,q4_0,17408x5120x1x1,weight:blk.11.ffn_down.weight,n695,unique q4_0 17408x5120 in block
194,f32,5120x1x1x1,weight:blk.12.attn_norm.weight,n698,f32[5120] MUL paired with pre-mixer RMS_NORM
195,f32,30720x1x1x1,state:conv_state(blk.12),n699,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
196,q4_0,5120x10240x1x1,weight:blk.12.attn_qkv.weight,n707,unique q4_0 5120x10240 in block
197,f32,786432x1x1x1,state:ssm_state(blk.12),n714,f32[786432]=128x128x48 GDN recurrent state
198,f32,4x10240x1x1,weight:blk.12.ssm_conv1d.weight,n721,f32 4x10240 SSM_CONV kernel
199,f16,5120x48x1x1,weight:blk.12.ssm_alpha.weight,n728,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
200,f32,48x1x1x1,weight:blk.12.ssm_dt.bias,n730,f32[48] ADD operand on the alpha path
201,f32,48x1x1x1,weight:blk.12.ssm_a,n732,f32[48] MUL operand after softplus (-exp(A_log) factor)
202,f16,5120x48x1x1,weight:blk.12.ssm_beta.weight,n734,f16 5120x48 GEMV feeding sigmoid (mixing path)
203,f32,128x1x1x1,weight:blk.12.ssm_norm.weight,n745,f32[128] MUL after the per-head RMS_NORM of the GDN output
204,q4_0,5120x6144x1x1,weight:blk.12.attn_gate.weight,n746,unique q4_0 5120x6144 in block (z-gate GEMV)
205,q4_0_ar16,6144x5120x1x1,weight:blk.12.ssm_out.weight,n751,unique Q4_0_AR16 6144x5120 in block
206,f32,5120x1x1x1,weight:blk.12.post_attention_norm.weight,n755,f32[5120] MUL paired with pre-FFN RMS_NORM
207,q4_0,5120x17408x1x1,weight:blk.12.ffn_gate.weight,n756,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
208,q4_0,5120x17408x1x1,weight:blk.12.ffn_up.weight,n757,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
209,q4_0,17408x5120x1x1,weight:blk.12.ffn_down.weight,n759,unique q4_0 17408x5120 in block
210,f32,5120x1x1x1,weight:blk.13.attn_norm.weight,n762,f32[5120] MUL paired with pre-mixer RMS_NORM
211,f32,30720x1x1x1,state:conv_state(blk.13),n763,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
212,q4_0,5120x10240x1x1,weight:blk.13.attn_qkv.weight,n771,unique q4_0 5120x10240 in block
213,f32,786432x1x1x1,state:ssm_state(blk.13),n778,f32[786432]=128x128x48 GDN recurrent state
214,f32,4x10240x1x1,weight:blk.13.ssm_conv1d.weight,n785,f32 4x10240 SSM_CONV kernel
215,f16,5120x48x1x1,weight:blk.13.ssm_alpha.weight,n792,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
216,f32,48x1x1x1,weight:blk.13.ssm_dt.bias,n794,f32[48] ADD operand on the alpha path
217,f32,48x1x1x1,weight:blk.13.ssm_a,n796,f32[48] MUL operand after softplus (-exp(A_log) factor)
218,f16,5120x48x1x1,weight:blk.13.ssm_beta.weight,n798,f16 5120x48 GEMV feeding sigmoid (mixing path)
219,f32,128x1x1x1,weight:blk.13.ssm_norm.weight,n809,f32[128] MUL after the per-head RMS_NORM of the GDN output
220,q4_0,5120x6144x1x1,weight:blk.13.attn_gate.weight,n810,unique q4_0 5120x6144 in block (z-gate GEMV)
