node_idx,op,type,ne,decoded_params,src_refs,block_idx,macro_op_id,macro_kind
64,GLU,f32,17408x1x1x1,glu=swiglu(2) swapped=0 alpha=0 limit=0,n62;n63,0,16,ffn_fused
65,MUL_MAT,f32,5120x1x1x1,,l21;n64,0,16,ffn_fused
66,ADD,f32,5120x1x1x1,,n65;n59,0,17,residual_add
67,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n66,1,18,rmsnorm
68,MUL,f32,5120x1x1x1,,n67;l22,1,18,rmsnorm
69,RESHAPE,f32,30720x1x1x1,,l23,1,19,conv_state_shift
70,VIEW,f32,0x1x1x1,offset=0,n69,1,19,conv_state_shift
71,SCALE,f32,0x1x1x1,scale=0 bias=0,n70,1,19,conv_state_shift
72,GET_ROWS,f32,30720x1x1x1,,n69;l6,1,19,conv_state_shift
73,GET_ROWS,f32,30720x0x1x1,,n69;l7,1,19,conv_state_shift
74,VIEW,f32,30720x0x1x1,offset=122880,l23,1,19,conv_state_shift
75,CPY,f32,30720x0x1x1,,n73;n74,1,19,conv_state_shift
76,RESHAPE,f32,3x10240x1x1,,n72,1,19,conv_state_shift
77,MUL_MAT,f32,10240x1x1x1,,l24;n68,1,20,qkv_mmvq
78,RESHAPE,f32,10240x1x1x1,,n77,1,20,qkv_mmvq
79,TRANSPOSE,f32,1x10240x1x1,,n78,1,20,qkv_mmvq
80,CONCAT,f32,4x10240x1x1,dim=0,n76;n79,1,21,conv_concat_store
81,VIEW,f32,3x10240x1x1,offset=4,n80,1,21,conv_concat_store
82,VIEW,f32,30720x1x1x1,offset=0,l23,1,21,conv_concat_store
83,CPY,f32,30720x1x1x1,,n81;n82,1,21,conv_concat_store
84,RESHAPE,f32,786432x1x1x1,,l25,1,22,ssm_state_fetch
85,VIEW,f32,0x1x1x1,offset=0,n84,1,22,ssm_state_fetch
86,SCALE,f32,0x1x1x1,scale=0 bias=0,n85,1,22,ssm_state_fetch
87,GET_ROWS,f32,786432x1x1x1,,n84;l6,1,22,ssm_state_fetch
88,GET_ROWS,f32,786432x0x1x1,,n84;l7,1,22,ssm_state_fetch
89,VIEW,f32,786432x0x1x1,offset=3145728,l25,1,22,ssm_state_fetch
90,CPY,f32,786432x0x1x1,,n88;n89,1,22,ssm_state_fetch
91,SSM_CONV,f32,10240x1x1x1,,n80;l26,1,23,ssm_conv_silu
92,UNARY,f32,10240x1x1x1,unary=silu(10),n91,1,23,ssm_conv_silu
93,VIEW,f32,128x16x1x1,offset=0,n92,1,24,qk_l2norm
94,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n93,1,24,qk_l2norm
95,VIEW,f32,128x16x1x1,offset=8192,n92,1,24,qk_l2norm
96,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n95,1,24,qk_l2norm
97,VIEW,f32,128x48x1x1,offset=16384,n92,1,24,qk_l2norm
98,MUL_MAT,f32,48x1x1x1,,l27;n68,1,25,gdn_gates
99,RESHAPE,f32,48x1x1x1,,n98,1,25,gdn_gates
100,ADD,f32,48x1x1x1,,n99;l28,1,25,gdn_gates
101,UNARY,f32,48x1x1x1,unary=softplus(15),n100,1,25,gdn_gates
102,MUL,f32,48x1x1x1,,n101;l29,1,25,gdn_gates
103,RESHAPE,f32,1x48x1x1,,n102,1,25,gdn_gates
104,MUL_MAT,f32,48x1x1x1,,l30;n68,1,25,gdn_gates
105,RESHAPE,f32,1x48x1x1,,n104,1,25,gdn_gates
106,UNARY,f32,1x48x1x1,unary=sigmoid(7),n105,1,25,gdn_gates
107,RESHAPE,f32,128x128x48x1,,n87,1,22,ssm_state_fetch
108,RESHAPE,f32,786432x1x1x1,,n107,1,22,ssm_state_fetch
109,GATED_DELTA_NET,f32,6144x129x1x1,,n94;n96;n97;n103;n106;n108,1,26,deltanet_step
110,VIEW,f32,128x128x48x1,offset=24576,n109,1,27,ssm_state_store
111,VIEW,f32,786432x1x1x1,offset=0,l25,1,27,ssm_state_store
112,CPY,f32,786432x1x1x1,,n110;n111,1,27,ssm_state_store
113,VIEW,f32,128x48x1x1,offset=0,n109,1,28,gated_out_norm
114,RMS_NORM,f32,128x48x1x1,eps=9.999999975e-07,n113,1,28,gated_out_norm
115,MUL,f32,128x48x1x1,,n114;l31,1,28,gated_out_norm
116,MUL_MAT,f32,6144x1x1x1,,l32;n68,1,28,gated_out_norm
117,RESHAPE,f32,128x48x1x1,,n116,1,28,gated_out_norm
118,UNARY,f32,128x48x1x1,unary=silu(10),n117,1,28,gated_out_norm
119,MUL,f32,128x48x1x1,,n115;n118,1,28,gated_out_norm
120,RESHAPE,f32,6144x1x1x1,,n119,1,28,gated_out_norm
121,MUL_MAT,f32,5120x1x1x1,,l33;n120,1,29,out_proj_ar16
122,RESHAPE,f32,5120x1x1x1,,n121,1,29,out_proj_ar16
123,ADD,f32,5120x1x1x1,,n122;n66,1,30,residual_add
124,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n123,1,31,rmsnorm
125,MUL,f32,5120x1x1x1,,n124;l34,1,31,rmsnorm
126,MUL_MAT,f32,17408x1x1x1,,l35;n125,1,32,ffn_fused
127,MUL_MAT,f32,17408x1x1x1,,l36;n125,1,32,ffn_fused
128,GLU,f32,17408x1x1x1,glu=swiglu(2) swapped=0 alpha=0 limit=0,n126;n127,1,32,ffn_fused
129,MUL_MAT,f32,5120x1x1x1,,l37;n128,1,32,ffn_fused
130,ADD,f32,5120x1x1x1,,n129;n123,1,33,residual_add
131,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n130,2,34,rmsnorm
132,MUL,f32,5120x1x1x1,,n131;l38,2,34,rmsnorm
133,RESHAPE,f32,30720x1x1x1,,l39,2,35,conv_state_shift
134,VIEW,f32,0x1x1x1,offset=0,n133,2,35,conv_state_shift
135,SCALE,f32,0x1x1x1,scale=0 bias=0,n134,2,35,conv_state_shift
136,GET_ROWS,f32,30720x1x1x1,,n133;l6,2,35,conv_state_shift
137,GET_ROWS,f32,30720x0x1x1,,n133;l7,2,35,conv_state_shift
138,VIEW,f32,30720x0x1x1,offset=122880,l39,2,35,conv_state_shift
139,CPY,f32,30720x0x1x1,,n137;n138,2,35,conv_state_shift
140,RESHAPE,f32,3x10240x1x1,,n136,2,35,conv_state_shift
141,MUL_MAT,f32,10240x1x1x1,,l40;n132,2,36,qkv_mmvq
142,RESHAPE,f32,10240x1x1x1,,n141,2,36,qkv_mmvq
143,TRANSPOSE,f32,1x10240x1x1,,n142,2,36,qkv_mmvq
144,CONCAT,f32,4x10240x1x1,dim=0,n140;n143,2,37,conv_concat_store
145,VIEW,f32,3x10240x1x1,offset=4,n144,2,37,conv_concat_store
146,VIEW,f32,30720x1x1x1,offset=0,l39,2,37,conv_concat_store
147,CPY,f32,30720x1x1x1,,n145;n146,2,37,conv_concat_store
148,RESHAPE,f32,786432x1x1x1,,l41,2,38,ssm_state_fetch
149,VIEW,f32,0x1x1x1,offset=0,n148,2,38,ssm_state_fetch
150,SCALE,f32,0x1x1x1,scale=0 bias=0,n149,2,38,ssm_state_fetch
151,GET_ROWS,f32,786432x1x1x1,,n148;l6,2,38,ssm_state_fetch
152,GET_ROWS,f32,786432x0x1x1,,n148;l7,2,38,ssm_state_fetch
153,VIEW,f32,786432x0x1x1,offset=3145728,l41,2,38,ssm_state_fetch
154,CPY,f32,786432x0x1x1,,n152;n153,2,38,ssm_state_fetch
155,SSM_CONV,f32,10240x1x1x1,,n144;l42,2,39,ssm_conv_silu
156,UNARY,f32,10240x1x1x1,unary=silu(10),n155,2,39,ssm_conv_silu
157,VIEW,f32,128x16x1x1,offset=0,n156,2,40,qk_l2norm
158,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n157,2,40,qk_l2norm
159,VIEW,f32,128x16x1x1,offset=8192,n156,2,40,qk_l2norm
160,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n159,2,40,qk_l2norm
161,VIEW,f32,128x48x1x1,offset=16384,n156,2,40,qk_l2norm
162,MUL_MAT,f32,48x1x1x1,,l43;n132,2,41,gdn_gates
163,RESHAPE,f32,48x1x1x1,,n162,2,41,gdn_gates
164,ADD,f32,48x1x1x1,,n163;l44,2,41,gdn_gates
165,UNARY,f32,48x1x1x1,unary=softplus(15),n164,2,41,gdn_gates
166,MUL,f32,48x1x1x1,,n165;l45,2,41,gdn_gates
167,RESHAPE,f32,1x48x1x1,,n166,2,41,gdn_gates
168,MUL_MAT,f32,48x1x1x1,,l46;n132,2,41,gdn_gates
169,RESHAPE,f32,1x48x1x1,,n168,2,41,gdn_gates
170,UNARY,f32,1x48x1x1,unary=sigmoid(7),n169,2,41,gdn_gates
171,RESHAPE,f32,128x128x48x1,,n151,2,38,ssm_state_fetch
172,RESHAPE,f32,786432x1x1x1,,n171,2,38,ssm_state_fetch
173,GATED_DELTA_NET,f32,6144x129x1x1,,n158;n160;n161;n167;n170;n172,2,42,deltanet_step
174,VIEW,f32,128x128x48x1,offset=24576,n173,2,43,ssm_state_store
175,VIEW,f32,786432x1x1x1,offset=0,l41,2,43,ssm_state_store
176,CPY,f32,786432x1x1x1,,n174;n175,2,43,ssm_state_store
177,VIEW,f32,128x48x1x1,offset=0,n173,2,44,gated_out_norm
178,RMS_NORM,f32,128x48x1x1,eps=9.999999975e-07,n177,2,44,gated_out_norm
179,MUL,f32,128x48x1x1,,n178;l47,2,44,gated_out_norm
180,MUL_MAT,f32,6144x1x1x1,,l48;n132,2,44,gated_out_norm
181,RESHAPE,f32,128x48x1x1,,n180,2,44,gated_out_norm
182,UNARY,f32,128x48x1x1,unary=silu(10),n181,2,44,gated_out_norm
183,MUL,f32,128x48x1x1,,n179;n182,2,44,gated_out_norm
184,RESHAPE,f32,6144x1x1x1,,n183,2,44,gated_out_norm
185,MUL_MAT,f32,5120x1x1x1,,l49;n184,2,45,out_proj_ar16
186,RESHAPE,f32,5120x1x1x1,,n185,2,45,out_proj_ar16
187,ADD,f32,5120x1x1x1,,n186;n130,2,46,residual_add
188,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n187,2,47,rmsnorm
189,MUL,f32,5120x1x1x1,,n188;l50,2,47,rmsnorm
190,MUL_MAT,f32,17408x1x1x1,,l51;n189,2,48,ffn_fused
191,MUL_MAT,f32,17408x1x1x1,,l52;n189,2,48,ffn_fused
192,GLU,f32,17408x1x1x1,glu=swiglu(2) swapped=0 alpha=0 limit=0,n190;n191,2,48,ffn_fused
193,MUL_MAT,f32,5120x1x1x1,,l53;n192,2,48,ffn_fused
194,ADD,f32,5120x1x1x1,,n193;n187,2,49,residual_add
195,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n194,3,50,rmsnorm
196,MUL,f32,5120x1x1x1,,n195;l54,3,50,rmsnorm
197,MUL_MAT,f32,12288x1x1x1,,l55;n196,3,51,q_gemv_norm_rope
198,VIEW,f32,256x24x1x1,offset=0,n197,3,51,q_gemv_norm_rope
199,RMS_NORM,f32,256x24x1x1,eps=9.999999975e-07,n198,3,51,q_gemv_norm_rope
200,MUL,f32,256x24x1x1,,n199;l56,3,51,q_gemv_norm_rope
201,ROPE,f32,256x24x1x1,n_dims=64 mode=IMROPE(40) n_ctx_orig=262144 freq_base=10000000 freq_scale=1 ext_factor=0 attn_factor=1 beta_fast=32 beta_slow=1 sections=[11 11 10 0],n200;l57,3,51,q_gemv_norm_rope
202,MUL_MAT,f32,1024x1x1x1,,l58;n196,3,52,v_gemv
203,RESHAPE,f32,256x4x1x1,,n202,3,52,v_gemv
204,MUL_MAT,f32,1024x1x1x1,,l59;n196,3,53,k_gemv_norm_rope
205,RESHAPE,f32,256x4x1x1,,n204,3,53,k_gemv_norm_rope
206,RMS_NORM,f32,256x4x1x1,eps=9.999999975e-07,n205,3,53,k_gemv_norm_rope
207,MUL,f32,256x4x1x1,,n206;l60,3,53,k_gemv_norm_rope
208,ROPE,f32,256x4x1x1,n_dims=64 mode=IMROPE(40) n_ctx_orig=262144 freq_base=10000000 freq_scale=1 ext_factor=0 attn_factor=1 beta_fast=32 beta_slow=1 sections=[11 11 10 0],n207;l57,3,53,k_gemv_norm_rope
209,VIEW,f32,1024x1x1x1,offset=0,n208,3,54,kv_append
210,SET_ROWS,f16,1024x262144x1x1,,n209;l61;l62,3,54,kv_append
211,VIEW,f32,1024x1x1x1,offset=0,n203,3,54,kv_append
212,SET_ROWS,f16,1024x262144x1x1,,n211;l63;l64,3,54,kv_append
213,VIEW,f32,256x24x1x1,offset=0,n201,3,55,fattn_prep
214,PERMUTE,f32,256x1x24x1,axes=[0 2 1 3],n213,3,55,fattn_prep
215,VIEW,f16,256x4x33024x1,offset=0,l62,3,55,fattn_prep
216,PERMUTE,f16,256x33024x4x1,axes=[0 2 1 3],n215,3,55,fattn_prep
217,VIEW,f16,256x4x33024x1,offset=0,l64,3,55,fattn_prep
218,PERMUTE,f16,256x33024x4x1,axes=[0 2 1 3],n217,3,55,fattn_prep
219,CPY,f16,33024x1x1x1,,l65;l66,3,56,mask_convert
220,FLASH_ATTN_EXT,f32,256x24x1x1,scale=0.0625 max_bias=0 logit_softcap=0 prec=10,n214;n216;n218;n219,3,57,fattn_decode
221,RESHAPE,f32,6144x1x1x1,,n220,3,58,attn_gate_out
222,VIEW,f32,256x24x1x1,offset=1024,n197,3,58,attn_gate_out
223,CONT,f32,6144x1x1x1,,n222,3,58,attn_gate_out
224,UNARY,f32,6144x1x1x1,unary=sigmoid(7),n223,3,58,attn_gate_out
225,MUL,f32,6144x1x1x1,,n221;n224,3,58,attn_gate_out
226,MUL_MAT,f32,5120x1x1x1,,l67;n225,3,59,o_gemv
227,ADD,f32,5120x1x1x1,,n226;n194,3,60,residual_add
228,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n227,3,61,rmsnorm
229,MUL,f32,5120x1x1x1,,n228;l68,3,61,rmsnorm
230,MUL_MAT,f32,17408x1x1x1,,l69;n229,3,62,ffn_fused
231,MUL_MAT,f32,17408x1x1x1,,l70;n229,3,62,ffn_fused
232,GLU,f32,17408x1x1x1,glu=swiglu(2) swapped=0 alpha=0 limit=0,n230;n231,3,62,ffn_fused
233,MUL_MAT,f32,5120x1x1x1,,l71;n232,3,62,ffn_fused
234,ADD,f32,5120x1x1x1,,n233;n227,3,63,residual_add
235,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n234,4,64,rmsnorm
236,MUL,f32,5120x1x1x1,,n235;l72,4,64,rmsnorm
237,RESHAPE,f32,30720x1x1x1,,l73,4,65,conv_state_shift
238,VIEW,f32,0x1x1x1,offset=0,n237,4,65,conv_state_shift
239,SCALE,f32,0x1x1x1,scale=0 bias=0,n238,4,65,conv_state_shift
240,GET_ROWS,f32,30720x1x1x1,,n237;l6,4,65,conv_state_shift
241,GET_ROWS,f32,30720x0x1x1,,n237;l7,4,65,conv_state_shift
242,VIEW,f32,30720x0x1x1,offset=122880,l73,4,65,conv_state_shift
243,CPY,f32,30720x0x1x1,,n241;n242,4,65,conv_state_shift
244,RESHAPE,f32,3x10240x1x1,,n240,4,65,conv_state_shift
245,MUL_MAT,f32,10240x1x1x1,,l74;n236,4,66,qkv_mmvq
246,RESHAPE,f32,10240x1x1x1,,n245,4,66,qkv_mmvq
247,TRANSPOSE,f32,1x10240x1x1,,n246,4,66,qkv_mmvq
248,CONCAT,f32,4x10240x1x1,dim=0,n244;n247,4,67,conv_concat_store
249,VIEW,f32,3x10240x1x1,offset=4,n248,4,67,conv_concat_store
250,VIEW,f32,30720x1x1x1,offset=0,l73,4,67,conv_concat_store
251,CPY,f32,30720x1x1x1,,n249;n250,4,67,conv_concat_store
252,RESHAPE,f32,786432x1x1x1,,l75,4,68,ssm_state_fetch
253,VIEW,f32,0x1x1x1,offset=0,n252,4,68,ssm_state_fetch
254,SCALE,f32,0x1x1x1,scale=0 bias=0,n253,4,68,ssm_state_fetch
255,GET_ROWS,f32,786432x1x1x1,,n252;l6,4,68,ssm_state_fetch
256,GET_ROWS,f32,786432x0x1x1,,n252;l7,4,68,ssm_state_fetch
257,VIEW,f32,786432x0x1x1,offset=3145728,l75,4,68,ssm_state_fetch
258,CPY,f32,786432x0x1x1,,n256;n257,4,68,ssm_state_fetch
259,SSM_CONV,f32,10240x1x1x1,,n248;l76,4,69,ssm_conv_silu
260,UNARY,f32,10240x1x1x1,unary=silu(10),n259,4,69,ssm_conv_silu
261,VIEW,f32,128x16x1x1,offset=0,n260,4,70,qk_l2norm
262,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n261,4,70,qk_l2norm
263,VIEW,f32,128x16x1x1,offset=8192,n260,4,70,qk_l2norm
264,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n263,4,70,qk_l2norm
265,VIEW,f32,128x48x1x1,offset=16384,n260,4,70,qk_l2norm
266,MUL_MAT,f32,48x1x1x1,,l77;n236,4,71,gdn_gates
267,RESHAPE,f32,48x1x1x1,,n266,4,71,gdn_gates
268,ADD,f32,48x1x1x1,,n267;l78,4,71,gdn_gates
269,UNARY,f32,48x1x1x1,unary=softplus(15),n268,4,71,gdn_gates
270,MUL,f32,48x1x1x1,,n269;l79,4,71,gdn_gates
271,RESHAPE,f32,1x48x1x1,,n270,4,71,gdn_gates
272,MUL_MAT,f32,48x1x1x1,,l80;n236,4,71,gdn_gates
273,RESHAPE,f32,1x48x1x1,,n272,4,71,gdn_gates
274,UNARY,f32,1x48x1x1,unary=sigmoid(7),n273,4,71,gdn_gates
275,RESHAPE,f32,128x128x48x1,,n255,4,68,ssm_state_fetch
276,RESHAPE,f32,786432x1x1x1,,n275,4,68,ssm_state_fetch
277,GATED_DELTA_NET,f32,6144x129x1x1,,n262;n264;n265;n271;n274;n276,4,72,deltanet_step
278,VIEW,f32,128x128x48x1,offset=24576,n277,4,73,ssm_state_store
279,VIEW,f32,786432x1x1x1,offset=0,l75,4,73,ssm_state_store
280,CPY,f32,786432x1x1x1,,n278;n279,4,73,ssm_state_store
281,VIEW,f32,128x48x1x1,offset=0,n277,4,74,gated_out_norm
282,RMS_NORM,f32,128x48x1x1,eps=9.999999975e-07,n281,4,74,gated_out_norm
283,MUL,f32,128x48x1x1,,n282;l81,4,74,gated_out_norm
284,MUL_MAT,f32,6144x1x1x1,,l82;n236,4,74,gated_out_norm
285,RESHAPE,f32,128x48x1x1,,n284,4,74,gated_out_norm
286,UNARY,f32,128x48x1x1,unary=silu(10),n285,4,74,gated_out_norm
287,MUL,f32,128x48x1x1,,n283;n286,4,74,gated_out_norm
288,RESHAPE,f32,6144x1x1x1,,n287,4,74,gated_out_norm
289,MUL_MAT,f32,5120x1x1x1,,l83;n288,4,75,out_proj_ar16
290,RESHAPE,f32,5120x1x1x1,,n289,4,75,out_proj_ar16
291,ADD,f32,5120x1x1x1,,n290;n234,4,76,residual_add
292,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n291,4,77,rmsnorm
293,MUL,f32,5120x1x1x1,,n292;l84,4,77,rmsnorm
294,MUL_MAT,f32,17408x1x1x1,,l85;n293,4,78,ffn_fused
295,MUL_MAT,f32,17408x1x1x1,,l86;n293,4,78,ffn_fused
296,GLU,f32,17408x1x1x1,glu=swiglu(2) swapped=0 alpha=0 limit=0,n294;n295,4,78,ffn_fused
297,MUL_MAT,f32,5120x1x1x1,,l87;n296,4,78,ffn_fused
298,ADD,f32,5120x1x1x1,,n297;n291,4,79,residual_add
299,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n298,5,80,rmsnorm
300,MUL,f32,5120x1x1x1,,n299;l88,5,80,rmsnorm
301,RESHAPE,f32,30720x1x1x1,,l89,5,81,conv_state_shift
302,VIEW,f32,0x1x1x1,offset=0,n301,5,81,conv_state_shift
303,SCALE,f32,0x1x1x1,scale=0 bias=0,n302,5,81,conv_state_shift
304,GET_ROWS,f32,30720x1x1x1,,n301;l6,5,81,conv_state_shift
305,GET_ROWS,f32,30720x0x1x1,,n301;l7,5,81,conv_state_shift
306,VIEW,f32,30720x0x1x1,offset=122880,l89,5,81,conv_state_shift
307,CPY,f32,30720x0x1x1,,n305;n306,5,81,conv_state_shift
308,RESHAPE,f32,3x10240x1x1,,n304,5,81,conv_state_shift
309,MUL_MAT,f32,10240x1x1x1,,l90;n300,5,82,qkv_mmvq
310,RESHAPE,f32,10240x1x1x1,,n309,5,82,qkv_mmvq
311,TRANSPOSE,f32,1x10240x1x1,,n310,5,82,qkv_mmvq
312,CONCAT,f32,4x10240x1x1,dim=0,n308;n311,5,83,conv_concat_store
313,VIEW,f32,3x10240x1x1,offset=4,n312,5,83,conv_concat_store
314,VIEW,f32,30720x1x1x1,offset=0,l89,5,83,conv_concat_store
315,CPY,f32,30720x1x1x1,,n313;n314,5,83,conv_concat_store
316,RESHAPE,f32,786432x1x1x1,,l91,5,84,ssm_state_fetch
317,VIEW,f32,0x1x1x1,offset=0,n316,5,84,ssm_state_fetch
318,SCALE,f32,0x1x1x1,scale=0 bias=0,n317,5,84,ssm_state_fetch
319,GET_ROWS,f32,786432x1x1x1,,n316;l6,5,84,ssm_state_fetch
320,GET_ROWS,f32,786432x0x1x1,,n316;l7,5,84,ssm_state_fetch
321,VIEW,f32,786432x0x1x1,offset=3145728,l91,5,84,ssm_state_fetch
322,CPY,f32,786432x0x1x1,,n320;n321,5,84,ssm_state_fetch
323,SSM_CONV,f32,10240x1x1x1,,n312;l92,5,85,ssm_conv_silu
324,UNARY,f32,10240x1x1x1,unary=silu(10),n323,5,85,ssm_conv_silu
325,VIEW,f32,128x16x1x1,offset=0,n324,5,86,qk_l2norm
326,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n325,5,86,qk_l2norm
327,VIEW,f32,128x16x1x1,offset=8192,n324,5,86,qk_l2norm
328,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n327,5,86,qk_l2norm
329,VIEW,f32,128x48x1x1,offset=16384,n324,5,86,qk_l2norm
330,MUL_MAT,f32,48x1x1x1,,l93;n300,5,87,gdn_gates
331,RESHAPE,f32,48x1x1x1,,n330,5,87,gdn_gates
332,ADD,f32,48x1x1x1,,n331;l94,5,87,gdn_gates
333,UNARY,f32,48x1x1x1,unary=softplus(15),n332,5,87,gdn_gates
334,MUL,f32,48x1x1x1,,n333;l95,5,87,gdn_gates
335,RESHAPE,f32,1x48x1x1,,n334,5,87,gdn_gates
336,MUL_MAT,f32,48x1x1x1,,l96;n300,5,87,gdn_gates
337,RESHAPE,f32,1x48x1x1,,n336,5,87,gdn_gates
338,UNARY,f32,1x48x1x1,unary=sigmoid(7),n337,5,87,gdn_gates
